,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,330.69
1,Industrial and Commercial Bank of China,292.02
2,Bank of America,275.2
3,Wells Fargo,260.55
4,China Construction Bank,217.73
5,HSBC Holdings PLC,185.48
6,Agricultural Bank of China,171.92
7,Citigroup Inc.,171.86
8,Bank of China,153.5
9,China Merchants Bank,103.72
10,Royal Bank of Canada,103.68
11,Banco Santander,97.87
12,Commonwealth Bank,94.93
13,Mitsubishi UFJ Financial Group,94.45
14,Toronto-Dominion Bank,91.74
15,BNP Paribas,87.35
16,Goldman Sachs,85.19
17,Sberbank of Russia,84.45
18,Morgan Stanley,84.29
19,U.S. Bancorp,79.99
20,HDFC Bank,74.81
21,Itaú Unibanco,72.92
22,Westpac,71.53
23,Scotiabank,66.78
24,ING Group,66.76
25,UBS,63.85
26,Charles Schwab,62.81
27,PNC Financial Services,61.11
28,Lloyds Banking Group,60.27
29,Sumitomo Mitsui Financial Group,56.95
30,Bank of Communications,56.74
31,Australia and New Zealand Banking Group,56.21
32,Banco Bradesco,54.83
33,National Australia Bank,53.96
34,Intesa Sanpaolo,52.47
35,Banco Bilbao Vizcaya Argentaria,51.33
36,Japan Post Bank,51.2
37,The Bank of New York Mellon,50.6
38,Shanghai Pudong Development Bank,49.74
39,Industrial Bank (China),48.54
40,Bank of China (Hong Kong),46.9
41,Bank of Montreal,44.99
42,Crédit Agricole,44.11
43,DBS Bank,43.54
44,Nordea,43.3
45,Capital One,43.23
46,NatWest Group,42.71
47,Mizuho Financial Group,42.31
48,Credit Suisse,40.99
49,Postal Savings Bank of China,40.56
50,China Minsheng Bank,40.54
51,UniCredit,40.41
52,China CITIC Bank,40.14
53,Hang Seng Bank,39.06
54,Société Générale,38.95
55,Barclays,38.78
56,Canadian Imperial Bank of Commerce,36.83
57,Bank Central Asia,36.66
58,Truist Financial,35.46
59,Oversea-Chinese Banking Corp,34.99
60,State Bank of India,34.31
61,State Street,33.64
62,Deutsche Bank,32.69
63,KBC Bank,32.48
64,Danske Bank,32.33
65,Ping An Bank,32.14
66,Standard Chartered,31.57
67,United Overseas Bank,29.71
68,QNB Group,28.39
69,Bank Rakyat,27.98
