,rates
AED,3.726298
AFN,91.325391
ALL,115.664282
AMD,415.552254
ANG,1.829384
AOA,437.15312
ARS,132.294537
AUD,1.46359
AWG,1.823568
AZN,1.72504
BAM,1.939783
BBD,2.049466
BDT,95.869896
BGN,1.947582
BHD,0.382397
BIF,2090.843049
BMD,1.014502
BND,1.40587
BOB,6.97837
BRL,5.435602
BSD,1.015013
BTC,4.810004e-05
BTN,80.977
BWP,12.800035
BYN,2.5626
BYR,19884.245286
BZD,2.045954
CAD,1.306527
CDF,2031.53889
CHF,0.978711
CLF,0.034448
CLP,950.517244
CNY,6.860979
COP,4532.593423
CRC,681.710403
CUC,1.014502
CUP,26.884311
CVE,109.361362
CZK,24.586484
DJF,180.706845
DKK,7.444165
DOP,55.177532
DZD,148.418669
EGP,19.21417
ERN,15.217535
ETB,53.395448
EUR,1.0
FJD,2.233173
FKP,0.854553
GBP,0.845902
GEL,2.982345
GGP,0.854553
GHS,8.399496
GIP,0.854553
GMD,54.874261
GNF,8788.283652
GTQ,7.851249
GYD,212.36318
HKD,7.962945
HNL,24.967207
HRK,7.513908
HTG,119.032452
HUF,400.259722
IDR,15228.186932
ILS,3.492368
IMP,0.854553
INR,80.938001
IQD,1481.444431
IRR,42964.172791
ISK,139.098525
JEP,0.854553
JMD,154.771097
JOD,0.71924
JPY,138.655584
KES,120.370519
KGS,81.588
KHR,4156.554973
KMF,471.363115
KPW,913.052071
KRW,1329.220946
KWD,0.311767
KYD,0.845811
KZT,485.250444
LAK,15282.869164
LBP,1534.703831
LKR,360.326124
LRD,154.713192
LSL,16.070329
LTL,2.995562
LVL,0.613663
LYD,4.949305
MAD,10.357912
MDL,19.600253
MGA,4268.261954
MKD,61.110056
MMK,1879.351881
MNT,3190.264828
MOP,8.206312
MRO,362.17715
MUR,45.8064
MVR,15.572515
MWK,1041.845379
MXN,20.788575
MYR,4.520639
MZN,64.756065
NAD,16.069698
NGN,421.272149
NIO,36.394279
NOK,10.020539
NPR,129.561894
NZD,1.62819
OMR,0.390095
PAB,1.015003
PEN,3.97571
PGK,3.576547
PHP,56.210544
PKR,233.333002
PLN,4.734582
PYG,6992.025877
QAR,3.693816
RON,4.932815
RSD,117.42837
RUB,59.323005
RWF,1048.416414
SAR,3.811931
SBD,8.278307
SCR,13.009824
SDG,463.14227
SEK,10.443302
SGD,1.408702
SHP,1.397371
SLL,13360.995368
SOS,592.976035
SRD,24.134502
STD,20998.149556
SVC,8.881526
SYP,2548.966915
SZL,17.019768
THB,37.228191
TJS,10.25189
TMT,3.560903
TND,3.107931
TOP,2.37576
TRY,18.104767
TTD,6.90316
TWD,30.366591
TZS,2365.819274
UAH,37.118594
UGX,3905.292623
USD,1.014502
UYU,42.444289
UZS,11132.037544
VND,23711.962504
VUV,120.620292
WST,2.76043
XAF,650.568618
XAG,0.054899
XAU,0.000591
XCD,2.741743
XDR,0.771624
XOF,650.581338
XPF,114.791015
YER,253.879413
ZAR,17.047038
ZMK,9131.739974
ZMW,16.570256
ZWL,326.66933
